2025-06-04 18:17:52,585 - CPU Usage: 50.0% | RAM Usage: 78.3% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:52,636 - CPU Usage: 72.2% | RAM Usage: 78.4% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:52,690 - CPU Usage: 55.6% | RAM Usage: 78.3% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:52,735 - CPU Usage: 81.1% | RAM Usage: 78.3% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:52,828 - CPU Usage: 76.8% | RAM Usage: 78.4% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:52,887 - CPU Usage: 64.7% | RAM Usage: 78.3% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:52,933 - CPU Usage: 33.3% | RAM Usage: 78.3% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:52,979 - CPU Usage: 25.0% | RAM Usage: 78.4% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:53,027 - CPU Usage: 32.4% | RAM Usage: 78.4% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:53,075 - CPU Usage: 67.6% | RAM Usage: 78.3% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:53,121 - CPU Usage: 21.6% | RAM Usage: 78.4% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:53,165 - CPU Usage: 22.9% | RAM Usage: 78.3% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:53,204 - CPU Usage: 66.7% | RAM Usage: 78.3% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:53,274 - CPU Usage: 30.6% | RAM Usage: 78.4% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:53,323 - CPU Usage: 66.7% | RAM Usage: 78.4% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:53,379 - CPU Usage: 58.3% | RAM Usage: 78.4% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:53,439 - CPU Usage: 52.1% | RAM Usage: 78.4% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:53,490 - CPU Usage: 52.8% | RAM Usage: 78.4% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:53,539 - CPU Usage: 63.9% | RAM Usage: 78.4% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:53,576 - CPU Usage: 86.8% | RAM Usage: 78.4% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:53,623 - CPU Usage: 27.8% | RAM Usage: 78.5% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:53,674 - CPU Usage: 27.8% | RAM Usage: 78.5% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:53,738 - CPU Usage: 74.0% | RAM Usage: 78.5% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:53,798 - CPU Usage: 58.3% | RAM Usage: 78.3% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:53,857 - CPU Usage: 64.6% | RAM Usage: 78.4% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:53,906 - CPU Usage: 18.9% | RAM Usage: 78.3% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:53,958 - CPU Usage: 44.4% | RAM Usage: 78.4% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:54,006 - CPU Usage: 83.3% | RAM Usage: 78.4% | GPU Load: 0% | GPU Memory: 0MB
2025-06-04 18:17:54,055 - CPU Usage: 51.4% | RAM Usage: 78.5% | GPU Load: 0% | GPU Memory: 0MB
